mu1,mu2,sigma1,sigma2,w1,w2
4.31337,2.22563,1.16372,0.241297,0.754941,0.245154
3.99405,2.09547,0.925793,0.219923,0.655795,0.344226
4.04057,2.17084,1.2002,0.252476,0.765462,0.234529
3.83933,2.1288,1.12681,0.225502,0.681626,0.318409
4.21158,2.18302,1.11048,0.200577,0.725427,0.274662
4.31258,2.1821,1.09098,0.19505,0.744355,0.25558
4.15414,2.12564,1.06022,0.254197,0.678275,0.321816
4.23404,2.19968,1.2322,0.230769,0.753343,0.246742
4.07557,2.11425,1.25761,0.303746,0.688416,0.311687
4.16962,2.18461,1.25903,0.245651,0.740913,0.25913
4.24213,2.14996,1.00185,0.248709,0.757216,0.242775
4.24341,2.22605,1.03443,0.202986,0.760904,0.239075
1.412,8.03934,0.324342,2.70322,0.733671,0.266402
1.50508,8.96324,0.298685,2.8842,0.799338,0.200759
4.11372,2.15523,1.15601,0.241806,0.788107,0.211939
3.98319,2.07491,1.04589,0.229971,0.695106,0.304852
4.08562,2.09212,1.0472,0.308158,0.700792,0.29929
4.15322,2.15359,1.32381,0.321573,0.696263,0.303745
4.23509,2.21123,1.0019,0.284882,0.736344,0.263729
4.28069,2.1489,0.998987,0.216717,0.7488,0.251197
1.50596,8.01327,0.338662,3.08584,0.762925,0.237131
4.14849,2.16275,1.09449,0.271793,0.716022,0.283867
3.91417,2.10962,0.979528,0.208101,0.680394,0.319709
1.48598,9.4081,0.313344,2.82134,0.774234,0.22584
4.47627,2.29257,1.19204,0.241542,0.809416,0.190671
4.12491,2.0448,1.20577,0.196342,0.687343,0.312624
4.34549,2.2764,1.20225,0.273119,0.803237,0.196789
4.19387,2.05182,0.907106,0.247718,0.668873,0.331145
4.07255,2.10295,1.05808,0.265917,0.719892,0.280165
4.09914,2.12739,1.22652,0.278289,0.697636,0.302376
4.42207,2.23033,1.44624,0.269619,0.833265,0.166686
3.71455,2.00915,0.752298,0.24317,0.681442,0.318627
4.3484,2.23845,1.12122,0.21085,0.774347,0.225731
3.8448,2.16384,1.00771,0.263769,0.690172,0.309981
4.32265,2.21589,1.20257,0.256759,0.75778,0.242254
1.43343,9.39755,0.354053,3.17783,0.744987,0.255092
4.07519,2.11524,1.18716,0.250898,0.72874,0.271319
1.48329,9.08542,0.321386,2.74866,0.787617,0.212404
4.39361,2.15977,1.33334,0.288683,0.741648,0.258333
1.47553,8.07691,0.338076,2.95066,0.703379,0.296643
4.01485,2.06204,0.943578,0.256928,0.696528,0.30357
1.36751,9.35015,0.338063,2.72794,0.764073,0.236019
1.38257,8.53489,0.31582,1.81551,0.718266,0.281805
1.45134,8.1213,0.297109,2.55603,0.688405,0.311675
4.27328,2.22003,1.17183,0.209352,0.79261,0.207501
1.35049,7.86572,0.316897,2.17547,0.671301,0.328777
1.47303,8.82995,0.344201,2.86716,0.800125,0.199929
1.33382,9.02823,0.317392,2.42484,0.681216,0.31889
4.33219,2.07997,1.25244,0.266023,0.717562,0.282464
4.27399,2.16727,1.01807,0.217794,0.746138,0.253941
1.45082,8.25626,0.327303,2.91569,0.689378,0.310638
4.01006,2.14974,0.828206,0.230797,0.709087,0.290915
4.34905,2.1082,0.991803,0.283173,0.711804,0.288275
4.02785,2.1072,1.02871,0.194324,0.665616,0.334376
1.42834,8.28772,0.328389,2.94786,0.732234,0.267934
1.40471,8.96747,0.279727,2.56456,0.731392,0.268639
3.96861,2.20073,1.02403,0.240184,0.701204,0.298875
1.51259,9.13084,0.372381,3.47404,0.78631,0.213713
4.29445,2.18415,1.23149,0.247648,0.734865,0.265235
4.19239,2.25147,1.17239,0.214215,0.756691,0.24337
4.5421,2.33002,1.46056,0.156738,0.794124,0.205912
1.38541,9.15788,0.341338,2.48223,0.754973,0.245049
1.39262,8.34009,0.320617,2.48487,0.704884,0.295151
4.42014,2.26692,1.28946,0.250737,0.788198,0.211831
1.44265,8.5781,0.37269,3.68178,0.775282,0.224766
3.99793,2.10526,0.903352,0.235536,0.715469,0.284614
4.36321,2.20481,1.21946,0.264871,0.754359,0.245697
4.0056,2.13183,1.11715,0.224824,0.730388,0.269618
1.50789,10.1769,0.28634,2.52207,0.81167,0.188331
4.05569,2.26259,1.29207,0.205447,0.736447,0.263641
3.92834,2.09031,1.07003,0.264401,0.713278,0.286718
4.08335,2.12617,0.954274,0.221099,0.664572,0.335542
4.27904,2.14432,1.20659,0.311521,0.753538,0.246586
1.46912,7.7882,0.30173,2.82961,0.662351,0.337671
1.46978,8.30977,0.281107,2.74033,0.694568,0.305424
1.49493,9.60597,0.280744,3.50309,0.788819,0.211175
4.68806,2.24038,1.26274,0.292501,0.838569,0.161508
1.41957,9.17315,0.328879,2.79,0.740943,0.25915
4.21155,2.12966,0.916933,0.214722,0.703946,0.296162
1.49821,9.96038,0.286547,3.91943,0.741562,0.258643
4.332,2.08695,1.09206,0.222018,0.719217,0.280824
4.24147,2.18955,1.32105,0.253649,0.787921,0.212081
4.04243,2.09654,0.881055,0.241632,0.696885,0.303078
4.08312,2.09802,1.01186,0.266124,0.68392,0.316217
1.33638,9.33198,0.33343,2.81258,0.771542,0.228516
1.45172,9.90428,0.310586,1.51667,0.824524,0.175521
4.16891,2.21949,1.06947,0.204357,0.723396,0.276739
4.18027,2.19604,1.30457,0.247724,0.750669,0.249413
4.57527,2.28592,1.4281,0.265251,0.833726,0.166209
4.02864,2.16423,1.03585,0.225016,0.746976,0.253043
4.28126,2.06974,1.05736,0.246074,0.720964,0.279061
4.37622,2.1178,1.21526,0.238713,0.745616,0.254389
4.10943,2.10878,1.23538,0.282702,0.70892,0.291151
4.38852,2.1402,1.08967,0.228952,0.752756,0.247283
4.35654,2.19521,1.21752,0.243727,0.780967,0.219101
3.90336,2.03754,0.812315,0.253109,0.693232,0.306775
4.04011,2.03904,0.953135,0.248441,0.73375,0.266327
1.42502,9.02885,0.301839,3.13985,0.774893,0.225108
3.83643,2.13837,1.07859,0.245948,0.725685,0.274342
4.2785,2.22792,1.16972,0.228445,0.762989,0.237123
4.00261,2.14333,0.955133,0.24607,0.736042,0.264054
4.2635,2.12742,0.997742,0.240723,0.712873,0.287172
4.19838,2.0758,1.13594,0.245739,0.722026,0.278014
4.14681,2.18852,1.12171,0.265659,0.746989,0.253078
4.20999,2.08471,1.04667,0.225513,0.727645,0.272405
4.09511,2.12471,1.1107,0.258294,0.754948,0.245092
3.96961,2.11533,1.21662,0.24513,0.72456,0.275524
4.04854,2.21111,1.02306,0.268498,0.749395,0.250642
1.50727,8.64599,0.286772,2.84437,0.718136,0.281971
4.17861,2.09369,0.796586,0.276541,0.713396,0.286604
4.23885,2.15696,1.16711,0.215214,0.7741,0.226091
1.49047,8.56236,0.338463,3.24414,0.774906,0.225154
4.32004,2.09815,1.04433,0.205269,0.764873,0.235134
4.0758,2.15071,0.978833,0.264306,0.692438,0.307604
4.0557,2.18652,1.06209,0.236694,0.752645,0.247418
4.13475,2.17061,1.11101,0.208179,0.714966,0.285063
4.09384,2.15376,1.05293,0.225477,0.701688,0.298307
4.29629,2.20462,0.966906,0.253494,0.741924,0.258085
1.46695,8.70341,0.353383,2.32447,0.709851,0.290187
4.16179,2.14006,1.01853,0.227675,0.747086,0.252927
4.26913,2.13353,1.03727,0.275904,0.725662,0.274402
4.34705,2.23151,1.24652,0.216017,0.779657,0.220505
1.3544,8.39015,0.309123,3.04846,0.71884,0.28123
1.49109,8.90875,0.372361,2.93693,0.804418,0.195596
1.45244,8.99268,0.348096,3.42939,0.691602,0.308434
3.84922,2.14534,0.819114,0.231877,0.680305,0.319776
1.43875,8.81166,0.41263,2.52597,0.7952,0.204778
1.40761,9.19024,0.27753,2.45648,0.757623,0.242407
4.09053,2.07842,0.844706,0.268103,0.686269,0.313809
3.90219,2.06943,0.962962,0.201294,0.729816,0.270208
4.29492,2.19883,0.926511,0.29066,0.767142,0.232874
4.30335,2.15108,1.26851,0.239955,0.754402,0.245658
3.93184,2.08946,0.822808,0.2987,0.710574,0.289427
3.84178,2.13902,1.04449,0.272988,0.677119,0.322867
4.47771,2.20129,1.24087,0.304531,0.840943,0.159086
1.42676,8.75745,0.253352,1.84903,0.726489,0.273491
3.81564,2.09141,0.892295,0.241226,0.654969,0.345046
1.51249,8.12281,0.338432,2.49789,0.723965,0.276147
4.18247,2.26925,1.12965,0.239629,0.795792,0.204336
3.75994,2.13521,0.851524,0.216593,0.607981,0.392113
4.24257,2.20357,1.09025,0.152151,0.732205,0.267829
4.41142,2.37722,1.52259,0.149021,0.819761,0.180242
1.46199,8.55838,0.361254,3.2267,0.712636,0.287284
4.00823,2.17788,1.04586,0.226512,0.741914,0.258051
4.08845,2.16095,1.09101,0.262465,0.74863,0.251399
4.3596,2.12183,1.30882,0.282067,0.758436,0.241638
4.29497,2.12133,1.13907,0.211015,0.701674,0.298347
3.94205,2.10318,0.995285,0.278346,0.683747,0.316332
4.28396,2.15267,1.20931,0.220614,0.752388,0.247634
4.01868,2.0457,0.9241,0.232247,0.710213,0.289789
4.29555,2.18385,1.27925,0.26276,0.828838,0.171235
4.25457,2.12132,0.927915,0.213056,0.70198,0.297986
1.37077,8.45488,0.347548,2.50837,0.73884,0.261183
4.18071,2.10411,1.11121,0.290142,0.722535,0.277484
1.52219,8.69715,0.314695,3.60823,0.765253,0.234819
1.38095,8.79348,0.330517,2.25018,0.748365,0.25167
4.17418,2.18235,1.23671,0.265651,0.795735,0.20427
1.40911,9.48,0.328037,2.71128,0.780857,0.219157
4.3407,2.19337,1.20879,0.24028,0.761597,0.238411
4.21377,2.21572,1.28281,0.263044,0.781346,0.218594
4.13146,2.19073,1.1156,0.220122,0.704285,0.295682
4.64367,2.36189,1.43932,0.236627,0.860353,0.139718
4.12605,2.12272,1.23622,0.236147,0.715135,0.284906
4.19735,2.1553,1.00011,0.162676,0.724289,0.27564
1.44241,9.3819,0.331466,2.82347,0.773525,0.226527
1.35825,8.00641,0.342725,2.44706,0.656419,0.343632
1.43423,10.6874,0.336995,2.53501,0.834815,0.165208
1.43258,8.59318,0.35381,1.98837,0.753301,0.246713
4.21699,2.18162,1.15059,0.216131,0.730558,0.269506
1.42083,8.05023,0.331001,2.78424,0.742363,0.257648
1.44443,8.80743,0.366691,3.03022,0.76514,0.234806
4.6189,2.20076,1.1694,0.212685,0.808863,0.191069
4.61986,2.34925,1.40158,0.273723,0.851691,0.148273
4.37461,2.1511,1.18939,0.236682,0.741539,0.258536
3.91247,2.13039,0.850873,0.240605,0.695123,0.304889
4.30086,2.25971,1.24098,0.2068,0.744365,0.255604
4.39942,2.22506,1.46534,0.271436,0.77882,0.221169
1.51401,9.27052,0.316714,2.64902,0.807401,0.192666
4.07892,2.12483,0.886961,0.173258,0.695844,0.304175
4.5138,2.20241,1.04376,0.171789,0.806069,0.193867
1.42718,8.09958,0.352535,3.09797,0.683543,0.316529
4.36306,2.17119,1.1174,0.201582,0.787136,0.212882
4.17561,2.13319,1.04681,0.221673,0.705142,0.294959
4.23253,2.04375,1.01268,0.277938,0.670248,0.329794
1.46352,8.80189,0.255861,2.44127,0.787163,0.212933
1.48441,9.42959,0.349768,3.79067,0.805071,0.194929
4.17019,2.16766,0.948939,0.277613,0.732257,0.26781
4.00582,2.14753,1.17825,0.240447,0.70465,0.295372
4.12228,2.12607,0.864329,0.275378,0.6784,0.321668
3.96072,2.16966,1.1495,0.22032,0.724658,0.275409
1.53146,10.7639,0.362098,3.63986,0.854826,0.145229
3.89461,2.10937,0.917004,0.190352,0.679908,0.320113
4.17369,2.12168,1.20881,0.243803,0.717041,0.283099
4.27301,2.15965,1.14957,0.237221,0.768101,0.231958
1.46503,8.61185,0.323929,2.66236,0.781367,0.218645
1.4599,8.26761,0.281744,2.08602,0.723255,0.276769
4.26279,2.11526,1.20855,0.243958,0.75313,0.246936
4.28079,2.16268,1.21603,0.148917,0.716785,0.283309
1.39247,8.54227,0.336343,1.25623,0.734382,0.265587
1.45305,10.085,0.328377,2.28232,0.802812,0.197265
4.5201,2.23396,1.31053,0.230172,0.777517,0.222564
4.42741,2.18559,1.10322,0.222001,0.789374,0.210654
1.4216,9.3292,0.267919,2.45911,0.801105,0.198897
4.34519,2.24368,1.23669,0.224892,0.78043,0.219582
4.4264,2.24758,1.11689,0.209157,0.765311,0.234738
3.98867,2.04435,0.853435,0.229382,0.684426,0.315614
4.2044,2.20412,1.28508,0.18643,0.762719,0.237282
4.08761,2.15959,1.03583,0.233209,0.725346,0.274807
4.41337,2.32851,1.40678,0.26219,0.831068,0.16894
4.21026,2.20122,1.02797,0.24055,0.728444,0.27157
3.98007,2.22296,1.13965,0.198663,0.786842,0.213198
4.32817,2.10989,1.13494,0.231614,0.717029,0.282885
4.15829,2.1521,0.941354,0.209454,0.733081,0.266982
4.19448,2.10168,0.948282,0.197169,0.766417,0.233632
3.84495,2.06677,0.826284,0.257737,0.683881,0.316117
1.42547,7.86468,0.282238,1.7451,0.742248,0.257797
1.46096,8.66119,0.308995,2.7418,0.736261,0.263793
1.46631,8.85622,0.259428,2.98929,0.774032,0.226014
4.38313,2.24098,1.22071,0.247951,0.815622,0.184469
1.39315,8.88583,0.220734,1.73661,0.689735,0.310304
3.86366,2.13094,0.965857,0.198117,0.682609,0.31729
1.46858,8.85948,0.323311,3.0527,0.781595,0.218408
4.13535,2.11024,0.984047,0.271484,0.72299,0.277193
4.37829,2.32237,1.41631,0.245735,0.861191,0.138927
1.43517,9.13565,0.376371,3.28965,0.748771,0.25129
4.37498,2.24356,1.13583,0.304969,0.806082,0.194031
4.09769,2.15837,0.954979,0.262063,0.73356,0.266425
1.4581,8.63824,0.340711,2.85439,0.718217,0.281791
3.83091,2.08978,1.09479,0.215759,0.653833,0.346201
4.29732,2.18492,1.06678,0.252691,0.733944,0.266071
4.29518,2.18814,1.26778,0.146208,0.750998,0.249011
4.01472,1.98712,1.04831,0.214541,0.707608,0.292569
3.85974,2.13049,0.887828,0.178996,0.655531,0.344548
4.54048,2.28685,1.30724,0.163431,0.797686,0.20237
4.22439,2.2263,1.03763,0.236808,0.729798,0.270211
1.42903,8.93703,0.382037,2.99412,0.760791,0.239306
4.08816,2.10515,1.05075,0.198281,0.699285,0.300733
1.40562,8.15555,0.279871,2.45148,0.729546,0.270483
1.43272,7.79679,0.312796,2.6054,0.699351,0.300708
4.34285,2.13345,1.06708,0.218566,0.715643,0.284453
1.45625,8.8749,0.271932,2.86073,0.729619,0.270452
1.42166,9.29801,0.248662,2.60758,0.747476,0.25252
4.48317,2.14834,1.20716,0.217693,0.782191,0.217838
1.4836,9.86687,0.427824,3.13537,0.827467,0.172629
4.31806,2.10758,1.14992,0.251513,0.802927,0.197087
3.80581,2.07526,1.06075,0.267851,0.715292,0.284689
4.63719,2.23112,1.30762,0.251526,0.788626,0.211493
4.41966,2.07694,1.28502,0.372589,0.807791,0.192293
1.48564,8.80659,0.299969,2.19191,0.778574,0.221508
4.09609,2.17085,1.15584,0.209425,0.72745,0.272599
4.27559,2.16871,1.27628,0.239531,0.770726,0.229387
4.00713,2.07772,1.3195,0.278675,0.667877,0.33222
4.12388,2.21035,1.02356,0.279288,0.720229,0.279877
1.43118,8.02996,0.300014,2.45836,0.642123,0.357936
4.15959,2.11225,1.00411,0.224506,0.696191,0.303817
4.18284,2.19172,1.05721,0.241536,0.754284,0.245732
4.01427,2.11764,0.9528,0.237438,0.67084,0.3292
3.94754,2.02985,1.08551,0.238907,0.650181,0.349959
1.40801,8.87124,0.349353,1.84021,0.757963,0.242073
4.07364,2.19534,0.961875,0.227155,0.72097,0.279061
3.97926,2.14542,0.869423,0.250721,0.717498,0.282519
4.39456,2.25298,1.297,0.220151,0.785882,0.214154
4.01437,2.15123,1.06676,0.204463,0.673669,0.326355
4.12165,2.17262,1.12517,0.228805,0.708703,0.291308
4.35202,2.13979,1.22046,0.179806,0.727689,0.272399
4.26152,2.0507,1.17829,0.238456,0.72739,0.272621
1.46586,7.78607,0.307105,2.36852,0.720284,0.27975
1.36924,7.91726,0.310961,1.71999,0.664586,0.335488
4.10527,2.21326,1.11493,0.211061,0.712398,0.287701
3.97227,2.13766,1.10908,0.21775,0.695956,0.30405
3.99946,2.11653,1.00746,0.27382,0.71741,0.282523
1.49862,9.0338,0.386211,3.23777,0.777594,0.222443
1.46842,7.70145,0.296897,2.6057,0.713825,0.286292
1.3885,8.63994,0.297598,2.63955,0.689907,0.310178
3.83257,2.10944,0.862624,0.214028,0.717997,0.282053
1.55534,7.90726,0.303191,3.00055,0.724762,0.275365
4.35465,2.18525,1.36567,0.257346,0.770658,0.229374
4.32716,2.16184,1.29842,0.243331,0.742062,0.257987
4.40946,2.09282,0.94388,0.312068,0.709177,0.290847
1.4767,8.62738,0.296026,2.81887,0.730889,0.26914
4.15988,2.05476,1.10551,0.221108,0.686122,0.313913
1.31656,9.00192,0.249608,3.36075,0.682497,0.317586
4.12002,2.14127,1.04222,0.24998,0.717651,0.282387
4.33745,2.30019,1.4505,0.225643,0.834782,0.165198
4.09618,2.21003,0.963291,0.280358,0.732263,0.267723
3.78192,2.06954,0.976743,0.232144,0.665875,0.334068
4.13739,2.1797,1.09538,0.283257,0.783042,0.216999
4.25899,2.1859,1.25862,0.192044,0.71571,0.28426
4.29213,2.16768,1.06955,0.210492,0.725637,0.274339
4.42721,2.14177,1.06407,0.251039,0.770079,0.229896
4.36724,2.32973,1.22244,0.143863,0.832398,0.167601
4.07112,2.08318,1.05464,0.247118,0.704769,0.295334
1.41046,9.55363,0.399937,1.91747,0.78874,0.21118
4.01528,2.14354,1.00293,0.262418,0.715747,0.284344
3.95534,2.04644,1.25467,0.255507,0.669512,0.330499
1.36452,8.55348,0.335296,1.17712,0.751597,0.248454
4.29915,2.17475,1.31715,0.24486,0.792918,0.20717
4.23573,2.0908,1.07154,0.188026,0.70625,0.293778
4.30824,2.17099,1.10442,0.218463,0.75984,0.240209
4.12548,2.2294,1.17391,0.243897,0.748238,0.25177
4.46263,2.20806,1.29721,0.233951,0.766756,0.233279
4.15879,2.11265,1.14155,0.19787,0.711414,0.288645
3.81586,2.16151,1.12322,0.184004,0.685496,0.314588
1.43264,8.54593,0.302828,2.83442,0.705534,0.294496
1.41575,9.42843,0.374286,1.25878,0.768062,0.232052
1.5305,9.08682,0.37988,3.09524,0.787796,0.212225
4.00106,2.10707,0.933556,0.291849,0.691322,0.308752
4.27294,2.16753,1.22698,0.262526,0.762421,0.237654
1.42713,8.3165,0.307804,2.18981,0.734979,0.265074
3.9876,2.13567,0.983671,0.21373,0.695976,0.304088
4.16195,2.1008,1.03855,0.282097,0.726353,0.273742
1.39943,8.18091,0.369537,2.60451,0.728223,0.271779
4.15088,2.21419,1.19485,0.257178,0.72454,0.27545
3.96209,2.15275,1.14319,0.216192,0.671478,0.32853
4.12955,2.15253,1.05127,0.236945,0.744319,0.255692
4.07803,2.093,1.11988,0.262794,0.709572,0.290452
4.1425,2.14214,0.953889,0.248948,0.742648,0.257415
4.05059,2.14059,1.05783,0.243534,0.706384,0.293639
1.45961,7.85478,0.281244,2.46023,0.770905,0.2292
3.69433,2.06258,0.920987,0.278394,0.64561,0.354424
3.81159,2.12785,0.998365,0.234128,0.705705,0.294326
4.08972,2.11494,1.02756,0.283152,0.729748,0.270279
3.93446,2.14738,0.771495,0.266198,0.68675,0.313335
1.48768,10.1296,0.282356,1.95092,0.811047,0.189035
4.28326,2.14216,1.11415,0.285398,0.789763,0.210278
4.64612,2.18185,1.22688,0.20695,0.756717,0.243315
3.98428,2.14609,1.06011,0.204923,0.695708,0.304371
4.36849,2.27007,1.3816,0.244868,0.809835,0.190298
1.45811,8.93081,0.351202,2.77829,0.730142,0.269919
4.03812,2.1571,1.10254,0.224392,0.735238,0.264812
4.25802,2.15648,1.25537,0.269513,0.800809,0.199194
1.43945,8.36439,0.335048,2.13585,0.759714,0.240352
